Model,MAE,RMSE,MedAE,Max Error,R²,MAPE (%)
Random Forest,23949.488246636007,1086522.233007561,786.58070211421,232588106.7019719,0.9941967849632841,0.2898463624578133
Gradient Boosting,39180.20183314185,548921.5239656101,10063.497482074425,142287190.99113667,0.9985188059824244,3.3270872977446455
MLP,516686.9710940183,5005437.930489918,68111.97838585026,398196363.3488449,0.8768383243057482,22.578839728141332
